…100/1167 | active 86, dead 14, dated 1
…200/1167 | active 168, dead 32, dated 5
…300/1167 | active 182, dead 118, dated 5
…400/1167 | active 182, dead 218, dated 5
…500/1167 | active 182, dead 318, dated 5
…600/1167 | active 182, dead 418, dated 5
…700/1167 | active 182, dead 518, dated 5
…800/1167 | active 182, dead 618, dated 5
…900/1167 | active 182, dead 718, dated 5
…1000/1167 | active 182, dead 818, dated 5
…1100/1167 | active 182, dead 918, dated 5

Done. checked 1167: active 182, inactive 985, est-year 5.
Main map: 182 proper. Flagged list: 985 (dead/no-site).
